Player,season,Date(M/D/Y),home,Team,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,TS%,FP,2PM,2PA,2P%,USG_Proxy_per_MIN,rest_days
윤원상,25-26,3/31/2026,0,Changwon LG Sakers,Anyang KGC,L,Bench,PG,1.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,2
윤원상,25-26,3/29/2026,1,Changwon LG Sakers,Seoul SK,W,Bench,PG,6.43,3,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1.5,6,0,0,,0.156,3
윤원상,25-26,3/26/2026,0,Changwon LG Sakers,Korea Gas Corporation,W,Bench,PG,3.75,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,1,2,,2.9,0,0,,0.267,11
윤원상,25-26,3/15/2026,0,Changwon LG Sakers,Wonju Dongbu Promy,W,Bench,PG,4.38,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,,0.2,0,0,,0.228,2
윤원상,25-26,3/13/2026,1,Changwon LG Sakers,Seoul Samsung Thunders,W,Bench,PG,8.30,7,2,2,1,2,2,1,1,2,0.5,0,1,1,0,0,0,0,1,1.215277778,8.2,0,0,,0.347,2
윤원상,25-26,3-11-2026,1,Changwon LG Sakers,Goyang Sono Skygunners,L,Bench,PG,3.10,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.645,3
윤원상,25-26,3-8-2026,1,Changwon LG Sakers,Seoul SK,L,Bench,PG,8.70,2,1,1,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,5.9,1,1,1,0.115,2
윤원상,25-26,3-6-2026,1,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Bench,PG,6.83,3,1,2,0.5,1,2,0.5,0,0,0,0,0,0,1,0,0,1,1,0.75,3.5,0,0,,0.439,16
윤원상,25-26,2/18/2026,0,Changwon LG Sakers,Jeonju KCC Egis,W,Bench,PG,4.30,3,1,3,0.333,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,1,0,0.698,2
윤원상,25-26,2/16/2026,1,Changwon LG Sakers,Goyang Sono Skygunners,L,Bench,PG,6.00,2,1,2,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0.5,5,1,1,1,0.333,2
윤원상,25-26,2/14/2026,1,Changwon LG Sakers,Wonju Dongbu Promy,W,Bench,PG,6.78,3,1,4,0.25,1,2,0.5,0,0,0,0,0,0,1,0,0,2,1,0.375,2.5,0,2,0,0.885,4
윤원상,25-26,2-10-2026,0,Changwon LG Sakers,Korea Gas Corporation,L,Bench,PG,10.78,4,2,6,0.333,0,2,0,0,0,0,2,2,4,2,0,0,3,4,0.333333333,8.8,2,4,0.5,0.835,2
윤원상,25-26,2-8-2026,0,Changwon LG Sakers,Anyang KGC,W,Bench,PG,12.85,3,1,3,0.333,0,1,0,1,2,0.5,1,0,1,2,2,0,1,2,0.386597938,12.2,1,2,0.5,0.38,3
윤원상,25-26,2-5-2026,0,Changwon LG Sakers,Seoul Samsung Thunders,W,Starter,SG,21.08,13,5,8,0.625,3,5,0.6,0,0,0,0,3,3,2,0,0,1,0,0.8125,18.6,2,3,0.667,0.427,2
윤원상,25-26,2-3-2026,1,Changwon LG Sakers,Suwon KT Sonicboom,W,Bench,PG,8.83,2,1,2,0.5,0,1,0,0,0,0,0,2,2,0,1,0,0,2,0.5,7.4,1,1,1,0.227,3
윤원상,25-26,1/31/2026,1,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Bench,PG,11.57,6,2,5,0.4,1,3,0.333,1,2,0.5,2,1,3,2,0,0,0,0,0.510204082,12.6,1,2,0.5,0.508,3
윤원상,25-26,1/28/2026,1,Changwon LG Sakers,Wonju Dongbu Promy,L,Bench,PG,7.63,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,1,0,3.2,0,0,,0.262,3
윤원상,25-26,1/25/2026,1,Changwon LG Sakers,Anyang KGC,W,Bench,PG,15.32,5,1,4,0.25,1,3,0.333,2,2,1,0,1,1,1,1,0,1,3,0.512295082,9.7,0,1,0,0.384,2
윤원상,25-26,1/23/2026,0,Changwon LG Sakers,Jeonju KCC Egis,W,Bench,PG,19.82,2,1,8,0.125,0,6,0,0,0,0,0,0,0,0,0,0,2,2,0.125,0,1,2,0.5,0.505,8
윤원상,25-26,1/15/2026,0,Changwon LG Sakers,Seoul SK,L,Starter,SG,21.70,18,7,12,0.583,4,9,0.444,0,0,0,0,1,1,2,0,0,1,4,0.75,21.2,3,3,1,0.599,3
윤원상,25-26,1-12-2026,0,Changwon LG Sakers,Korea Gas Corporation,L,Bench,PG,11.82,6,2,6,0.333,2,5,0.4,0,0,0,0,0,0,3,0,0,0,1,0.5,10.5,0,1,0,0.508,2
윤원상,25-26,1-10-2026,1,Changwon LG Sakers,Goyang Sono Skygunners,W,Bench,PG,11.03,3,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,2,1,1.5,2.2,0,0,,0.272,3
윤원상,25-26,1-7-2026,1,Changwon LG Sakers,Seoul Samsung Thunders,W,Bench,PG,15.23,4,1,5,0.2,0,1,0,2,3,0.667,0,1,1,4,0,0,2,1,0.316455696,9.2,1,4,0.25,0.546,3
윤원상,25-26,1-4-2026,0,Changwon LG Sakers,Suwon KT Sonicboom,L,Bench,PG,8.73,3,1,2,0.5,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0.75,5.7,0,1,0,0.229,2
윤원상,25-26,1-2-2026,0,Changwon LG Sakers,Seoul Samsung Thunders,W,Bench,PG,13.27,10,3,6,0.5,2,3,0.667,2,3,0.667,0,2,2,0,0,0,0,2,0.683060109,12.4,1,3,0.333,0.552,2
윤원상,25-26,12/31/2025,0,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Bench,PG,15.13,7,2,3,0.667,1,1,1,2,4,0.5,0,1,1,1,0,0,2,0,0.735294118,7.7,1,2,0.5,0.447,3
윤원상,25-26,12/28/2025,1,Changwon LG Sakers,Anyang KGC,L,Bench,PG,17.67,1,0,2,0,0,2,0,1,2,0.5,2,2,4,2,0,0,2,2,0.173611111,6.8,0,0,,0.276,2
윤원상,25-26,12/26/2025,0,Changwon LG Sakers,Jeonju KCC Egis,W,Starter,PG,44.18,19,7,15,0.467,5,10,0.5,0,0,0,3,4,7,10,2,0,1,2,0.633333333,47.4,2,5,0.4,0.362,3
윤원상,25-26,12/23/2025,1,Changwon LG Sakers,Korea Gas Corporation,W,Bench,PG,17.52,4,2,7,0.286,0,3,0,0,0,0,1,1,2,0,0,0,1,2,0.285714286,5.4,2,4,0.5,0.457,2
윤원상,25-26,12/21/2025,1,Changwon LG Sakers,Wonju Dongbu Promy,W,Bench,PG,19.68,15,5,7,0.714,5,7,0.714,0,0,0,0,0,0,0,0,0,0,2,1.071428571,15,0,0,,0.356,7
윤원상,25-26,12/14/2025,0,Changwon LG Sakers,Goyang Sono Skygunners,W,Bench,PG,11.73,0,0,2,0,0,2,0,0,0,0,0,1,1,1,0,0,1,2,0,1.7,0,0,,0.256,1
윤원상,25-26,12/13/2025,0,Changwon LG Sakers,Seoul SK,L,Bench,PG,17.35,5,2,9,0.222,1,5,0.2,0,0,0,0,1,1,0,0,0,0,3,0.277777778,6.2,1,4,0.25,0.519,6
윤원상,25-26,12-7-2025,1,Changwon LG Sakers,Suwon KT Sonicboom,W,Starter,PG,27.00,6,2,6,0.333,2,5,0.4,0,0,0,0,1,1,3,1,0,1,2,0.5,13.7,0,1,0,0.259,1
윤원상,25-26,12-6-2025,1,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Starter,PG,18.63,13,4,7,0.571,2,3,0.667,3,4,0.75,0,0,0,0,3,0,1,2,0.742009132,21,2,4,0.5,0.524,2
윤원상,25-26,12-4-2025,1,Changwon LG Sakers,Korea Gas Corporation,L,Bench,PG,5.70,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,-2,0,0,,0.526,
윤원상,23-24,3/31/2024,0,Changwon LG Sakers,Seoul Samsung Thunders,W,Bench,SG,23.65,9,3,6,0.5,2,4,0.5,1,2,0.5,1,3,4,2,0,0,0,3,0.654069767,16.8,1,2,0.5,0.291,89
윤원상,23-24,1-2-2024,1,Changwon LG Sakers,Anyang KGC,L,Starter,SG,5.82,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0.344,2
윤원상,23-24,12/31/2023,1,Changwon LG Sakers,Goyang Sono Skygunners,W,Bench,SG,0.80,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.25,26
윤원상,23-24,12-5-2023,0,Changwon LG Sakers,Seoul Samsung Thunders,W,Bench,SG,2.67,0,0,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1.498,3
윤원상,23-24,12-2-2023,0,Changwon LG Sakers,Wonju Dongbu Promy,W,Bench,SG,1.88,3,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1.5,4.2,0,0,,0.532,2
윤원상,23-24,11/30/2023,0,Changwon LG Sakers,Seoul SK,W,Bench,SG,1.90,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1.053,2
윤원상,23-24,11/28/2023,0,Changwon LG Sakers,Suwon KT Sonicboom,L,Bench,SG,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,-1,0,0,,0.306,3
윤원상,23-24,11/25/2023,1,Changwon LG Sakers,Goyang Sono Skygunners,W,Bench,SG,9.10,2,0,2,0,0,2,0,2,2,1,0,1,1,0,0,0,0,1,0.347222222,3.2,0,0,,0.316,2
윤원상,23-24,11/23/2023,1,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Bench,SG,13.57,2,1,3,0.333,0,1,0,0,0,0,0,3,3,0,0,0,0,3,0.333333333,5.6,1,2,0.5,0.221,11
윤원상,23-24,11-12-2023,0,Changwon LG Sakers,Anyang KGC,L,Starter,SG,14.87,2,0,4,0,0,3,0,2,2,1,0,0,0,2,1,0,0,0,0.204918033,8,0,1,0,0.328,2
윤원상,23-24,11-10-2023,1,Changwon LG Sakers,Jeonju KCC Egis,W,Starter,SG,11.63,3,1,2,0.5,1,2,0.5,0,0,0,0,1,1,0,0,0,0,0,0.75,4.2,0,0,,0.172,6
윤원상,23-24,11-4-2023,1,Changwon LG Sakers,Seoul SK,W,Bench,SG,9.53,2,1,3,0.333,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,2,1,1,1,0.315,2
윤원상,23-24,11-2-2023,1,Changwon LG Sakers,Goyang Sono Skygunners,W,Bench,SG,15.90,2,1,4,0.25,0,2,0,0,0,0,0,3,3,1,0,0,0,1,0.25,7.1,1,2,0.5,0.252,4
윤원상,23-24,10/29/2023,0,Changwon LG Sakers,Seoul Samsung Thunders,W,Bench,SG,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,1
윤원상,23-24,10/28/2023,0,Changwon LG Sakers,Korea Gas Corporation,W,Bench,SG,24.33,7,3,7,0.429,1,5,0.2,0,0,0,1,2,3,1,0,0,0,1,0.5,12.1,2,2,1,0.288,2
윤원상,23-24,10/26/2023,1,Changwon LG Sakers,Wonju Dongbu Promy,L,Bench,SG,16.60,3,1,5,0.2,0,3,0,1,2,0.5,1,1,2,2,0,0,2,2,0.255102041,6.4,1,2,0.5,0.475,3
윤원상,23-24,10/23/2023,0,Changwon LG Sakers,Ulsan Mobis Phoebus,L,Starter,SG,20.23,7,2,3,0.667,1,1,1,2,2,1,1,3,4,0,1,0,0,1,0.902061856,14.8,1,2,0.5,0.192,2
윤원상,23-24,10/21/2023,1,Changwon LG Sakers,Suwon KT Sonicboom,L,Starter,SG,11.32,4,2,5,0.4,0,3,0,0,0,0,2,1,3,0,0,0,0,0,0.4,7.6,2,2,1,0.442,
Tamayo,25-26,4-5-2026,1,Changwon LG Sakers,Jeonju KCC Egis,L,Starter,PF,30.45,7,3,11,0.273,1,7,0.143,0,0,0,1,5,6,3,4,1,4,3,0.318181818,29.7,2,4,0.5,0.493,2
Tamayo,25-26,4-3-2026,0,Changwon LG Sakers,Suwon KT Sonicboom,W,Starter,SF,29.30,11,5,12,0.417,0,3,0,1,1,1,0,4,4,2,0,1,2,3,0.442122186,19.8,5,9,0.556,0.493,3
Tamayo,25-26,3/31/2026,0,Changwon LG Sakers,Anyang KGC,L,Starter,SF,37.07,18,6,14,0.429,3,7,0.429,3,4,0.75,1,2,3,3,0,2,1,2,0.57106599,31.1,3,7,0.429,0.452,2
Tamayo,25-26,3/29/2026,1,Changwon LG Sakers,Seoul SK,W,Starter,PF,36.37,9,3,12,0.25,0,5,0,3,5,0.6,2,10,12,1,0,1,3,4,0.316901408,24.9,3,7,0.429,0.473,3
Tamayo,25-26,3/26/2026,0,Changwon LG Sakers,Korea Gas Corporation,W,Starter,PF,32.57,20,9,19,0.474,2,4,0.5,0,0,0,2,6,8,1,0,0,1,3,0.526315789,30.1,7,15,0.467,0.614,11
Tamayo,25-26,3/15/2026,0,Changwon LG Sakers,Wonju Dongbu Promy,W,Starter,PF,36.80,19,9,17,0.529,1,4,0.25,0,2,0,1,2,3,2,1,1,4,1,0.531319911,27.6,8,13,0.615,0.595,2
Tamayo,25-26,3/13/2026,1,Changwon LG Sakers,Seoul Samsung Thunders,W,Starter,PF,26.05,11,4,13,0.308,0,2,0,3,6,0.5,2,1,3,2,1,0,1,0,0.351662404,19.6,4,11,0.364,0.639,2
Tamayo,25-26,3-11-2026,1,Changwon LG Sakers,Goyang Sono Skygunners,L,Starter,PF,30.48,13,6,15,0.4,1,5,0.2,0,0,0,2,6,8,3,0,0,3,3,0.433333333,24.1,5,10,0.5,0.591,3
Tamayo,25-26,3-8-2026,1,Changwon LG Sakers,Seoul SK,L,Starter,PF,26.92,8,3,11,0.273,2,6,0.333,0,2,0,1,5,6,2,0,0,1,1,0.336700337,17.2,1,5,0.2,0.478,2
Tamayo,25-26,3-6-2026,1,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Starter,PF,24.27,8,4,8,0.5,0,2,0,0,0,0,1,4,5,1,0,0,0,2,0.5,15.5,4,6,0.667,0.33,16
Tamayo,25-26,2/18/2026,0,Changwon LG Sakers,Jeonju KCC Egis,W,Bench,PF,17.93,4,2,7,0.286,0,2,0,0,0,0,0,3,3,2,1,0,0,3,0.285714286,13.6,2,5,0.4,0.39,2
Tamayo,25-26,2/16/2026,1,Changwon LG Sakers,Goyang Sono Skygunners,L,Starter,PF,21.28,8,3,10,0.3,1,3,0.333,1,2,0.5,0,5,5,0,0,1,2,1,0.367647059,15,2,7,0.286,0.605,2
Tamayo,25-26,2/14/2026,1,Changwon LG Sakers,Wonju Dongbu Promy,W,Starter,PF,16.55,10,4,12,0.333,1,1,1,1,2,0.5,1,1,2,2,0,0,1,0,0.388198758,14.4,3,11,0.273,0.839,14
Tamayo,25-26,1/31/2026,1,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Bench,PF,8.97,0,0,4,0,0,2,0,0,0,0,0,2,2,1,0,0,1,1,0,2.9,0,2,0,0.557,3
Tamayo,25-26,1/28/2026,1,Changwon LG Sakers,Wonju Dongbu Promy,L,Starter,PF,32.70,15,6,14,0.429,1,4,0.25,2,2,1,1,7,8,5,1,0,2,3,0.504032258,33.1,5,10,0.5,0.516,21
Tamayo,25-26,1-7-2026,1,Changwon LG Sakers,Seoul Samsung Thunders,W,Starter,PF,32.52,31,12,21,0.571,3,6,0.5,4,7,0.571,0,5,5,0,1,0,3,2,0.643687708,37,9,15,0.6,0.833,3
Tamayo,25-26,1-4-2026,0,Changwon LG Sakers,Suwon KT Sonicboom,L,Starter,PF,31.55,21,10,16,0.625,1,4,0.25,0,0,0,0,2,2,2,0,0,1,1,0.65625,25.4,9,12,0.75,0.539,2
Tamayo,25-26,1-2-2026,0,Changwon LG Sakers,Seoul Samsung Thunders,W,Starter,PF,25.65,9,4,9,0.444,0,1,0,1,2,0.5,2,6,8,6,0,0,2,1,0.455465587,25.6,4,8,0.5,0.463,2
Tamayo,25-26,12/31/2025,0,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Starter,PF,25.18,4,2,8,0.25,0,2,0,0,0,0,0,7,7,5,0,0,7,2,0.25,12.9,2,6,0.333,0.596,3
Tamayo,25-26,12/28/2025,1,Changwon LG Sakers,Anyang KGC,L,Bench,PF,15.75,3,1,10,0.1,0,3,0,1,2,0.5,0,2,2,3,0,0,0,0,0.137867647,9.9,1,7,0.143,0.691,2
Tamayo,25-26,12/26/2025,0,Changwon LG Sakers,Jeonju KCC Egis,W,Starter,PF,43.97,24,10,26,0.385,1,5,0.2,3,3,1,3,4,7,5,2,1,4,2,0.439238653,44.9,9,21,0.429,0.712,3
Tamayo,25-26,12/23/2025,1,Changwon LG Sakers,Korea Gas Corporation,W,Starter,PF,32.10,23,10,21,0.476,1,5,0.2,2,4,0.5,3,1,4,3,0,0,1,1,0.505272408,31.3,9,16,0.563,0.74,2
Tamayo,25-26,12/21/2025,1,Changwon LG Sakers,Wonju Dongbu Promy,W,Starter,PF,36.60,30,12,25,0.48,1,5,0.2,5,7,0.714,2,3,5,4,0,0,1,4,0.534188034,41,11,20,0.55,0.795,7
Tamayo,25-26,12/14/2025,0,Changwon LG Sakers,Goyang Sono Skygunners,W,Starter,PF,31.60,9,4,18,0.222,0,4,0,1,2,0.5,2,7,9,3,2,0,1,3,0.238347458,29.3,4,14,0.286,0.629,1
Tamayo,25-26,12/13/2025,0,Changwon LG Sakers,Seoul SK,L,Starter,PF,22.23,10,3,9,0.333,1,5,0.2,3,6,0.5,0,4,4,3,0,0,1,1,0.429553265,18.3,2,4,0.5,0.569,6
Tamayo,25-26,12-7-2025,1,Changwon LG Sakers,Suwon KT Sonicboom,W,Bench,PF,17.45,1,0,2,0,0,1,0,1,6,0.167,0,3,3,4,0,0,1,3,0.107758621,9.6,0,1,0,0.323,1
Tamayo,25-26,12-6-2025,1,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Starter,PF,28.60,24,10,16,0.625,3,4,0.75,1,3,0.333,1,14,15,4,1,0,3,1,0.692840647,48,7,12,0.583,0.71,2
Tamayo,25-26,12-4-2025,1,Changwon LG Sakers,Korea Gas Corporation,L,Starter,PF,33.52,13,6,15,0.4,1,3,0.333,0,0,0,0,6,6,0,0,0,2,4,0.433333333,18.2,5,12,0.417,0.507,18
Tamayo,25-26,11/16/2025,0,Changwon LG Sakers,Anyang KGC,W,Starter,PF,38.13,26,9,25,0.36,5,9,0.556,3,6,0.5,0,2,2,4,1,1,1,1,0.470332851,39.4,4,16,0.25,0.751,1
Tamayo,25-26,11/15/2025,0,Changwon LG Sakers,Suwon KT Sonicboom,W,Starter,PF,28.95,11,5,8,0.625,1,2,0.5,0,0,0,0,2,2,2,0,0,2,2,0.6875,14.4,4,6,0.667,0.345,3
Tamayo,25-26,11-12-2025,0,Changwon LG Sakers,Seoul Samsung Thunders,W,Starter,PF,37.35,34,15,24,0.625,1,4,0.25,3,5,0.6,1,2,3,1,2,1,0,2,0.648854962,48.1,14,20,0.7,0.701,2
Tamayo,25-26,11-10-2025,1,Changwon LG Sakers,Jeonju KCC Egis,W,Starter,PF,30.07,20,8,19,0.421,1,4,0.25,3,6,0.5,3,6,9,2,3,1,3,0,0.462107209,42.8,7,15,0.467,0.819,2
Tamayo,25-26,11-8-2025,0,Changwon LG Sakers,Wonju Dongbu Promy,L,Starter,PF,20.18,6,3,12,0.25,0,3,0,0,0,0,0,4,4,0,0,0,3,2,0.25,7.8,3,9,0.333,0.743,6
Tamayo,25-26,11-2-2025,0,Changwon LG Sakers,Seoul SK,W,Starter,PF,34.48,24,8,13,0.615,4,7,0.571,4,4,1,3,5,8,4,0,1,2,1,0.81300813,40.6,4,6,0.667,0.486,1
Tamayo,25-26,11-1-2025,0,Changwon LG Sakers,Goyang Sono Skygunners,L,Bench,PF,16.90,3,1,7,0.143,1,2,0.5,0,0,0,0,4,4,2,0,0,0,1,0.214285714,10.8,0,5,0,0.414,5
Tamayo,25-26,10/27/2025,1,Changwon LG Sakers,Jeonju KCC Egis,W,Starter,PF,36.20,27,10,19,0.526,4,6,0.667,3,6,0.5,1,9,10,3,1,2,2,1,0.623844732,50.5,6,13,0.462,0.653,2
Tamayo,25-26,10/25/2025,0,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Starter,PF,35.50,16,7,11,0.636,0,1,0,2,2,1,0,4,4,4,3,0,2,2,0.673400673,33.8,7,10,0.7,0.391,5
Tamayo,25-26,10/20/2025,1,Changwon LG Sakers,Korea Gas Corporation,W,Starter,PF,35.12,24,10,22,0.455,1,5,0.2,3,3,1,5,3,8,2,1,1,3,1,0.51457976,39.6,9,17,0.529,0.749,2
Tamayo,25-26,10/18/2025,1,Changwon LG Sakers,Seoul Samsung Thunders,W,Starter,PF,33.97,10,3,13,0.231,1,2,0.5,3,4,0.75,1,7,8,2,1,0,2,2,0.338753388,23.6,2,11,0.182,0.493,3
Tamayo,25-26,10/15/2025,1,Changwon LG Sakers,Anyang KGC,L,Starter,PF,25.15,19,8,18,0.444,1,3,0.333,2,8,0.25,1,1,2,2,1,0,2,0,0.441449814,25.4,7,15,0.467,0.935,3
Tamayo,25-26,10-12-2025,1,Changwon LG Sakers,Suwon KT Sonicboom,W,Starter,PF,32.37,14,6,12,0.5,2,4,0.5,0,0,0,1,3,4,4,1,0,4,3,0.583333333,23.8,4,8,0.5,0.494,2
Tamayo,25-26,10-10-2025,0,Changwon LG Sakers,Goyang Sono Skygunners,W,Starter,PF,36.98,22,9,18,0.5,0,2,0,4,4,1,3,7,10,2,0,1,3,4,0.556680162,37,9,16,0.563,0.615,5
Tamayo,25-26,10-5-2025,0,Changwon LG Sakers,Wonju Dongbu Promy,W,Starter,PF,36.45,25,10,22,0.455,1,3,0.333,4,6,0.667,2,8,10,3,2,0,2,1,0.507305195,45.5,9,19,0.474,0.731,2
Tamayo,25-26,10-3-2025,1,Changwon LG Sakers,Seoul SK,L,Bench,PF,21.13,7,3,7,0.429,1,3,0.333,0,0,0,2,8,10,3,1,0,4,5,0.5,22.5,2,4,0.5,0.521,
Tamayo,24-25,4-3-2025,1,Changwon LG Sakers,Anyang KGC,W,Starter,C,19.42,16,6,11,0.545,2,4,0.5,2,2,1,3,3,6,0,1,0,1,3,0.673400673,25.2,4,7,0.571,0.663,4
Tamayo,24-25,3/30/2025,0,Changwon LG Sakers,Jeonju KCC Egis,W,Starter,PF,22.73,19,9,17,0.529,1,4,0.25,0,0,0,2,5,7,0,0,0,0,2,0.558823529,27.4,8,13,0.615,0.748,2
Tamayo,24-25,3/28/2025,0,Changwon LG Sakers,Seoul SK,L,Starter,PF,34.87,9,4,16,0.25,1,6,0.167,0,0,0,0,8,8,0,0,0,5,1,0.28125,13.6,3,10,0.3,0.602,2
Tamayo,24-25,3/26/2025,0,Changwon LG Sakers,Seoul Samsung Thunders,W,Starter,PF,20.72,15,7,12,0.583,1,2,0.5,0,1,0,0,5,5,4,0,0,3,2,0.602893891,24,6,10,0.6,0.745,3
Tamayo,24-25,3/23/2025,1,Changwon LG Sakers,Korea Gas Corporation,W,Starter,PF,26.78,19,8,14,0.571,1,2,0.5,2,4,0.5,0,2,2,1,0,0,1,5,0.602791878,21.9,7,12,0.583,0.626,1
Tamayo,24-25,3/22/2025,1,Changwon LG Sakers,Suwon KT Sonicboom,L,Starter,PF,34.23,17,6,13,0.462,1,5,0.2,4,6,0.667,1,5,6,0,0,0,2,2,0.543478261,22.2,5,8,0.625,0.515,2
Tamayo,24-25,3/20/2025,1,Changwon LG Sakers,Wonju Dongbu Promy,W,Starter,PF,29.22,32,13,19,0.684,6,10,0.6,0,0,0,2,4,6,5,1,0,2,3,0.842105263,47.7,7,9,0.778,0.719,4
Tamayo,24-25,3/16/2025,0,Changwon LG Sakers,Suwon KT Sonicboom,L,Bench,PF,11.13,0,0,5,0,0,2,0,0,0,0,0,0,0,1,1,0,1,2,0,3.5,0,3,0,0.539,2
Tamayo,24-25,3/14/2025,1,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Starter,PF,36.15,17,7,13,0.538,2,4,0.5,1,1,1,2,6,8,3,0,0,2,3,0.632440476,29.1,5,9,0.556,0.427,5
Tamayo,24-25,3-9-2025,1,Changwon LG Sakers,Goyang Sono Skygunners,W,Starter,PF,25.07,12,5,11,0.455,0,2,0,2,2,1,1,1,2,4,0,0,2,2,0.505050505,18.4,5,9,0.556,0.554,2
Tamayo,24-25,3-7-2025,0,Changwon LG Sakers,Korea Gas Corporation,W,Starter,PF,27.07,16,7,12,0.583,1,3,0.333,1,2,0.5,1,4,5,4,1,0,4,0,0.621118012,27,6,9,0.667,0.624,4
Tamayo,24-25,3-3-2025,0,Changwon LG Sakers,Wonju Dongbu Promy,L,Starter,PF,30.90,34,13,26,0.5,4,11,0.364,4,4,1,3,5,8,2,3,0,2,1,0.612391931,53.6,9,15,0.6,0.963,2
Tamayo,24-25,3-1-2025,1,Changwon LG Sakers,Anyang KGC,L,Starter,C,28.10,14,6,18,0.333,1,3,0.333,1,2,0.5,3,3,6,2,0,0,3,4,0.370762712,21.2,5,15,0.333,0.779,2
Tamayo,24-25,2/27/2025,1,Changwon LG Sakers,Seoul Samsung Thunders,W,Bench,PF,15.33,4,2,4,0.5,0,0,0,0,0,0,0,4,4,2,0,0,1,0,0.5,10.8,2,4,0.5,0.326,15
Tamayo,24-25,2-12-2025,0,Changwon LG Sakers,Seoul SK,W,Bench,PF,18.73,10,4,12,0.333,0,2,0,2,2,1,1,4,5,4,1,0,0,2,0.388198758,25,4,10,0.4,0.688,4
Tamayo,24-25,2-8-2025,0,Changwon LG Sakers,Jeonju KCC Egis,W,Starter,PF,22.43,12,5,11,0.455,2,3,0.667,0,0,0,0,4,4,1,1,0,0,4,0.545454545,21.3,3,8,0.375,0.49,2
Tamayo,24-25,2-6-2025,1,Changwon LG Sakers,Jeonju KCC Egis,W,Starter,PF,35.62,21,9,16,0.563,2,3,0.667,1,1,1,1,5,6,6,1,0,4,1,0.638686131,36.2,7,13,0.538,0.574,3
Tamayo,24-25,2-3-2025,0,Changwon LG Sakers,Seoul SK,L,Starter,PF,26.48,7,3,11,0.273,1,4,0.25,0,0,0,1,3,4,1,1,1,1,3,0.318181818,18.3,2,7,0.286,0.453,2
Tamayo,24-25,2-1-2025,0,Changwon LG Sakers,Wonju Dongbu Promy,W,Bench,PF,18.05,11,5,12,0.417,1,2,0.5,0,0,0,0,3,3,1,1,0,0,4,0.458333333,19.1,4,10,0.4,0.665,2
Tamayo,24-25,1/30/2025,1,Changwon LG Sakers,Korea Gas Corporation,W,Starter,PF,33.73,14,7,16,0.438,0,2,0,0,1,0,0,3,3,3,1,0,1,3,0.425790754,24.1,7,14,0.5,0.517,5
Tamayo,24-25,1/25/2025,1,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Starter,C,26.88,12,6,14,0.429,0,0,0,0,2,0,5,5,10,1,1,0,0,4,0.403225806,28.5,6,14,0.429,0.554,2
Tamayo,24-25,1/23/2025,1,Changwon LG Sakers,Goyang Sono Skygunners,W,Starter,PF,22.32,7,3,14,0.214,0,4,0,1,2,0.5,1,4,5,1,1,0,4,1,0.235215054,13.5,3,10,0.3,0.846,8
Tamayo,24-25,1/15/2025,1,Changwon LG Sakers,Seoul Samsung Thunders,W,Starter,C,34.72,24,8,17,0.471,3,5,0.6,5,5,1,2,5,7,0,2,2,2,3,0.625,42.4,5,12,0.417,0.611,2
