Player,season,Date(M/D/Y),home,Team,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,TS%,FP,2PM,2PA,2P%,USG_Proxy_per_MIN,rest_days
양준석,24-25,11/30/2024,0,Changwon LG Sakers,Goyang Sono Skygunners,W,Starter,PG,25.93,6,3,4,0.75,0,0,0,0,0,0,0,1,1,9,0,0,2,5,0.75,18.7,3,4,0.75,0.231,3
양준석,24-25,11/27/2024,1,Changwon LG Sakers,Seoul SK,L,Bench,PG,12.85,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,2,1,,5.2,0,0,,0.156,13
양준석,24-25,11/14/2024,1,Changwon LG Sakers,Suwon KT Sonicboom,L,Bench,PG,11.98,4,2,4,0.5,0,2,0,0,0,0,0,0,0,0,1,0,1,3,0.5,6,2,2,1,0.417,4
양준석,24-25,11-10-2024,0,Changwon LG Sakers,Wonju Dongbu Promy,L,Starter,PG,26.45,11,4,9,0.444,1,3,0.333,2,2,1,0,2,2,4,1,0,0,2,0.556680162,22.4,3,6,0.5,0.374,1
양준석,24-25,11-9-2024,0,Changwon LG Sakers,Suwon KT Sonicboom,L,Starter,PG,23.45,0,0,6,0,0,3,0,0,0,0,0,4,4,6,1,0,1,4,0,15.8,0,3,0,0.299,2
양준석,24-25,11-7-2024,0,Changwon LG Sakers,Seoul Samsung Thunders,L,Starter,PG,29.35,14,6,8,0.75,0,1,0,2,2,1,1,3,4,6,1,0,3,3,0.788288288,27.8,6,7,0.857,0.405,4
양준석,24-25,11-3-2024,1,Changwon LG Sakers,Ulsan Mobis Phoebus,L,Starter,PG,34.88,12,5,11,0.455,0,2,0,2,3,0.667,2,0,2,3,0,0,0,2,0.487012987,18.9,5,9,0.556,0.353,2
양준석,24-25,11-1-2024,1,Changwon LG Sakers,Seoul SK,L,Starter,PG,33.53,10,4,10,0.4,0,3,0,2,2,1,1,1,2,6,3,0,2,3,0.459558824,28.4,4,7,0.571,0.384,6
양준석,24-25,10/26/2024,0,Changwon LG Sakers,Goyang Sono Skygunners,L,Starter,PG,35.10,13,5,13,0.385,3,5,0.6,0,0,0,1,1,2,8,0,0,2,2,0.5,25.4,2,8,0.25,0.427,2
양준석,24-25,10/24/2024,1,Changwon LG Sakers,Anyang KGC,W,Starter,PG,30.90,22,8,12,0.667,2,5,0.4,4,5,0.8,1,1,2,9,0,0,0,3,0.774647887,37.9,6,7,0.857,0.46,3
양준석,24-25,10/21/2024,1,Changwon LG Sakers,Jeonju KCC Egis,W,Starter,PG,31.83,7,3,7,0.429,1,4,0.25,0,0,0,1,2,3,7,1,0,2,1,0.5,22.1,2,3,0.667,0.283,2
양준석,24-25,10/19/2024,1,Changwon LG Sakers,Korea Gas Corporation,W,Starter,PG,27.47,7,1,6,0.167,1,4,0.25,4,7,0.571,1,0,1,5,0,0,2,3,0.385462555,13.7,0,2,0,0.403,
양준석,23-24,3/31/2024,0,Changwon LG Sakers,Seoul Samsung Thunders,W,Starter,PG,15.32,3,1,2,0.5,1,1,1,0,0,0,1,1,2,3,2,0,2,4,0.75,13.9,0,1,0,0.261,3
양준석,23-24,3/28/2024,0,Changwon LG Sakers,Seoul SK,L,Bench,PG,20.17,7,3,6,0.5,1,3,0.333,0,0,0,4,0,4,2,1,0,0,2,0.583333333,17.8,2,3,0.667,0.297,4
양준석,23-24,3/24/2024,0,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Bench,PG,10.63,7,3,5,0.6,1,1,1,0,0,0,0,1,1,2,1,0,0,0,0.7,14.2,2,4,0.5,0.47,2
양준석,23-24,3/22/2024,0,Changwon LG Sakers,Jeonju KCC Egis,W,Bench,PG,9.58,2,1,4,0.25,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0.25,6.2,1,4,0.25,0.418,3
양준석,23-24,3/19/2024,1,Changwon LG Sakers,Anyang KGC,W,Bench,PG,12.70,2,1,5,0.2,0,2,0,0,0,0,0,0,0,2,0,0,2,1,0.2,3,1,3,0.333,0.551,2
양준석,23-24,3/17/2024,1,Changwon LG Sakers,Wonju Dongbu Promy,W,Bench,PG,10.75,4,1,2,0.5,0,0,0,2,2,1,0,1,1,2,1,0,1,1,0.694444444,10.2,1,2,0.5,0.361,2
양준석,23-24,3/15/2024,0,Changwon LG Sakers,Goyang Sono Skygunners,W,Bench,PG,21.48,4,2,4,0.5,0,2,0,0,0,0,0,4,4,2,0,0,2,2,0.5,9.8,2,2,1,0.279,4
양준석,23-24,3-11-2024,1,Changwon LG Sakers,Suwon KT Sonicboom,W,Bench,PG,10.88,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1.7,0,0,,0.184,4
양준석,23-24,3-7-2024,1,Changwon LG Sakers,Korea Gas Corporation,W,Bench,PG,16.82,10,4,7,0.571,2,4,0.5,0,0,0,0,1,1,3,0,0,0,0,0.714285714,15.7,2,3,0.667,0.416,4
양준석,23-24,3-3-2024,0,Changwon LG Sakers,Suwon KT Sonicboom,W,Bench,PG,10.70,2,1,2,0.5,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0.5,4.7,1,1,1,0.187,2
양준석,23-24,3-1-2024,1,Changwon LG Sakers,Anyang KGC,W,Bench,PG,19.92,2,1,2,0.5,0,1,0,0,0,0,0,4,4,7,0,0,2,3,0.5,15.3,1,1,1,0.201,15
양준석,23-24,2/15/2024,0,Changwon LG Sakers,Seoul SK,W,Bench,PG,13.85,8,4,5,0.8,0,0,0,0,0,0,0,2,2,2,1,0,1,1,0.8,15.4,4,5,0.8,0.433,3
양준석,23-24,2-12-2024,1,Changwon LG Sakers,Ulsan Mobis Phoebus,L,Bench,PG,8.92,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,1,2,0,5,0,0,,0.224,2
양준석,23-24,2-10-2024,0,Changwon LG Sakers,Korea Gas Corporation,W,Bench,PG,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,0.5,0,0,,0.226,2
양준석,23-24,2-8-2024,0,Changwon LG Sakers,Jeonju KCC Egis,L,Bench,PG,22.78,5,2,8,0.25,0,5,0,1,2,0.5,0,0,0,2,0,0,1,4,0.281531532,7,2,3,0.667,0.434,2
양준석,23-24,2-6-2024,1,Changwon LG Sakers,Wonju Dongbu Promy,L,Bench,PG,16.08,3,1,4,0.25,1,1,1,0,0,0,0,1,1,3,2,0,1,1,0.375,13.7,0,3,0,0.311,3
양준석,23-24,2-3-2024,1,Changwon LG Sakers,Seoul Samsung Thunders,L,Starter,PG,17.98,5,2,7,0.286,1,3,0.333,0,0,0,0,1,1,2,2,0,0,2,0.357142857,15.2,1,4,0.25,0.389,2
양준석,23-24,2-1-2024,0,Changwon LG Sakers,Goyang Sono Skygunners,W,Starter,PG,18.53,4,2,5,0.4,0,2,0,0,0,0,0,2,2,4,0,0,3,1,0.4,9.4,2,3,0.667,0.432,4
양준석,23-24,1/28/2024,0,Changwon LG Sakers,Suwon KT Sonicboom,W,Bench,PG,10.93,4,2,6,0.333,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0.333333333,6,2,5,0.4,0.64,2
양준석,23-24,1/26/2024,1,Changwon LG Sakers,Seoul Samsung Thunders,W,Bench,PG,13.87,4,2,3,0.667,0,0,0,0,0,0,0,2,2,4,1,0,1,2,0.666666667,14.4,2,3,0.667,0.288,5
양준석,23-24,1/21/2024,0,Changwon LG Sakers,Wonju Dongbu Promy,L,Bench,PG,27.17,13,5,8,0.625,3,4,0.75,0,0,0,1,2,3,4,0,0,1,3,0.8125,21.6,2,4,0.5,0.331,2
양준석,23-24,1/19/2024,1,Changwon LG Sakers,Jeonju KCC Egis,W,Bench,PG,13.62,2,1,2,0.5,0,1,0,0,0,0,0,1,1,2,0,0,0,3,0.5,6.2,1,1,1,0.147,10
양준석,23-24,1-9-2024,1,Changwon LG Sakers,Seoul SK,L,Bench,PG,25.25,11,4,8,0.5,1,3,0.333,2,2,1,0,1,1,0,2,0,0,1,0.619369369,18.2,3,5,0.6,0.352,2
양준석,23-24,1-7-2024,1,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Bench,PG,15.42,6,3,5,0.6,0,0,0,0,0,0,1,4,5,2,0,0,0,3,0.6,15,3,5,0.6,0.324,1
양준석,23-24,1-6-2024,1,Changwon LG Sakers,Korea Gas Corporation,L,Bench,PG,13.63,0,0,0,0,0,0,0,0,0,0,1,3,4,4,1,0,0,1,,13.8,0,0,,0,4
양준석,23-24,1-2-2024,0,Changwon LG Sakers,Anyang KGC,L,Bench,PG,4.77,3,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,2,1.041666667,4.5,1,1,1,0.302,2
양준석,23-24,12/31/2023,1,Changwon LG Sakers,Goyang Sono Skygunners,W,Bench,PG,11.08,2,1,2,0.5,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0.5,3.7,1,2,0.5,0.271,2
양준석,23-24,12/29/2023,0,Changwon LG Sakers,Wonju Dongbu Promy,L,Bench,PG,14.10,2,1,6,0.167,0,2,0,0,0,0,1,1,2,0,1,0,0,0,0.166666667,7.4,1,4,0.25,0.426,3
양준석,23-24,12/26/2023,1,Changwon LG Sakers,Anyang KGC,W,Bench,PG,16.93,7,2,2,1,0,0,0,3,4,0.75,1,1,2,4,0,0,1,1,0.930851064,14.4,2,2,1,0.281,2
양준석,23-24,12/24/2023,0,Changwon LG Sakers,Jeonju KCC Egis,L,Starter,PG,13.42,1,0,4,0,0,1,0,1,2,0.5,0,0,0,2,0,0,0,0,0.102459016,4,0,3,0,0.364,1
양준석,23-24,12/23/2023,1,Changwon LG Sakers,Seoul SK,L,Bench,PG,7.55,2,1,3,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333,2,1,3,0.333,0.397,6
양준석,23-24,12/17/2023,1,Changwon LG Sakers,Seoul Samsung Thunders,W,Starter,PG,18.63,0,0,4,0,0,0,0,0,0,0,2,3,5,6,0,1,0,2,0,18,0,4,0,0.215,1
양준석,23-24,12/16/2023,0,Changwon LG Sakers,Korea Gas Corporation,L,Starter,PG,15.98,5,2,5,0.4,1,3,0.333,0,0,0,0,0,0,0,0,0,1,3,0.5,4,1,2,0.5,0.375,5
양준석,23-24,12-11-2023,0,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Starter,PG,11.07,11,5,7,0.714,1,2,0.5,0,0,0,0,2,2,2,0,0,1,4,0.785714286,15.4,4,5,0.8,0.723,2
양준석,23-24,12-9-2023,1,Changwon LG Sakers,Suwon KT Sonicboom,W,Starter,PG,14.38,2,0,1,0,0,0,0,2,2,1,0,1,1,3,0,0,2,3,0.531914894,5.7,0,1,0,0.27,2
양준석,23-24,12-7-2023,1,Changwon LG Sakers,Jeonju KCC Egis,W,Bench,PG,1.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,2
양준석,23-24,12-5-2023,0,Changwon LG Sakers,Seoul Samsung Thunders,W,Starter,PG,15.07,7,3,4,0.75,0,0,0,1,1,1,0,2,2,2,1,0,1,2,0.788288288,14.4,3,4,0.75,0.361,3
양준석,23-24,12-2-2023,0,Changwon LG Sakers,Wonju Dongbu Promy,W,Bench,PG,6.63,2,1,2,0.5,0,1,0,0,0,0,0,0,0,1,0,0,2,2,0.5,1.5,1,1,1,0.603,2
양준석,23-24,11/30/2023,0,Changwon LG Sakers,Seoul SK,W,Starter,PG,11.25,2,1,6,0.167,0,1,0,0,0,0,0,1,1,1,0,0,1,2,0.166666667,3.7,1,5,0.2,0.622,2
양준석,23-24,11/28/2023,0,Changwon LG Sakers,Suwon KT Sonicboom,L,Bench,PG,5.10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,4.5,0,0,,0,3
양준석,23-24,11/25/2023,1,Changwon LG Sakers,Goyang Sono Skygunners,W,Bench,PG,14.95,2,1,3,0.333,0,1,0,0,0,0,0,1,1,1,2,0,1,2,0.333333333,9.7,1,2,0.5,0.268,2
양준석,23-24,11/23/2023,1,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Starter,PG,23.57,9,4,6,0.667,1,1,1,0,0,0,0,0,0,2,1,0,2,1,0.75,13,3,5,0.6,0.339,4
양준석,23-24,11/19/2023,1,Changwon LG Sakers,Korea Gas Corporation,W,Bench,PG,5.05,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0.198,2
양준석,23-24,11/17/2023,0,Changwon LG Sakers,Anyang KGC,W,Bench,PG,7.05,5,2,2,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1.25,9.7,1,1,1,0.426,5
양준석,23-24,11-12-2023,0,Changwon LG Sakers,Anyang KGC,L,Bench,PG,8.40,3,1,2,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0.75,3,0,1,0,0.238,2
양준석,23-24,11-10-2023,1,Changwon LG Sakers,Jeonju KCC Egis,W,Bench,PG,24.22,5,2,5,0.4,0,1,0,1,2,0.5,0,5,5,6,0,0,0,3,0.425170068,20,2,4,0.5,0.243,6
양준석,23-24,11-4-2023,1,Changwon LG Sakers,Seoul SK,W,Starter,PG,14.12,7,3,6,0.5,1,2,0.5,0,0,0,0,1,1,2,0,0,1,2,0.583333333,10.2,2,4,0.5,0.496,2
양준석,23-24,11-2-2023,1,Changwon LG Sakers,Goyang Sono Skygunners,W,Starter,PG,17.15,4,1,4,0.25,0,1,0,2,2,1,0,0,0,3,0,0,0,2,0.409836066,8.5,1,3,0.333,0.285,4
양준석,23-24,10/29/2023,0,Changwon LG Sakers,Seoul Samsung Thunders,W,Starter,PG,14.03,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,2,0,0.143,1
양준석,23-24,10/28/2023,0,Changwon LG Sakers,Korea Gas Corporation,W,Starter,PG,14.38,7,3,5,0.6,1,1,1,0,0,0,0,2,2,3,0,0,1,2,0.7,12.9,2,4,0.5,0.417,2
양준석,23-24,10/26/2023,1,Changwon LG Sakers,Wonju Dongbu Promy,L,Starter,PG,15.88,2,1,7,0.143,0,4,0,0,0,0,1,0,1,6,0,0,1,3,0.142857143,11.2,1,3,0.333,0.504,3
양준석,23-24,10/23/2023,0,Changwon LG Sakers,Ulsan Mobis Phoebus,L,Starter,PG,33.25,8,3,10,0.3,0,3,0,2,2,1,0,4,4,3,0,0,2,3,0.367647059,15.3,3,7,0.429,0.387,2
양준석,23-24,10/21/2023,1,Changwon LG Sakers,Suwon KT Sonicboom,L,Starter,PG,13.97,0,0,3,0,0,2,0,0,2,0,0,4,4,1,0,0,0,0,0,6.3,0,1,0,0.278,
윤원상,25-26,4-8-2026,0,Changwon LG Sakers,Ulsan Mobis Phoebus,L,Bench,PG,19.12,5,2,10,0.2,1,7,0.143,0,0,0,0,0,0,3,1,0,0,1,0.25,12.5,1,3,0.333,0.523,3
윤원상,25-26,4-5-2026,1,Changwon LG Sakers,Jeonju KCC Egis,L,Bench,PG,12.63,8,3,6,0.5,2,3,0.667,0,0,0,0,1,1,1,0,0,0,0,0.666666667,10.7,1,3,0.333,0.475,2
윤원상,25-26,4-3-2026,0,Changwon LG Sakers,Suwon KT Sonicboom,W,Bench,PG,9.77,2,1,2,0.5,0,1,0,0,0,0,1,2,3,1,0,0,1,0,0.5,6.1,1,1,1,0.307,3
